Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
SW55,ON_OFF_SWITCH,Button_Switch_THT:SW_E-Switch_EG1224_SPDT_Angled,1,E-Switch,EG1224,mouser,612-EG1224
SW8;SW7;SW11;SW12;SW15;SW19;SW23;SW27;SW30;SW34;SW36;SW37;SW39;SW43;SW47;SW50;SW18;SW22;SW26;SW33;SW35;SW38;SW42;SW46;SW3;SW4;SW2;SW1;SW5;SW6;SW10;SW14;SW17;SW9;SW13;SW16;SW49;SW45;SW41;SW40;SW44;SW48;SW31;SW28;SW24;SW29;SW25;SW21;SW20;SW32,SW_Push,Button_Switch_THT:Tactile_Switch_12x12x7.3_mm,50,-,-,-,-
C7;C11;C8;C9;C10;C13;C1;C6;C5,0.1uF,Capacitor_SMD:C_0805_2012Metric,9,-,-,-,-
C12,10uF,Capacitor_SMD:C_0805_2012Metric,1,-,-,-,-
C2,1uF,Capacitor_SMD:C_0805_2012Metric,1,-,-,-,-
C3;C4,22pF,Capacitor_SMD:C_0805_2012Metric,2,-,-,-,-
C14,22uF,Capacitor_SMD:C_0805_2012Metric,1,-,-,-,-
C19;C20,0.1uf,Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R,2,-,-,-,-
C18,1uf,Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R,1,-,-,-,-
C16;C17,220uf,Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R,2,-,-,-,-
C15,22uF,Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R,1,-,-,-,-
J5,SJ1-42536-SMT,Connector_Audio:SJ-4351X-SMT,1,Cui,SJ1-42536-SMT,mouser, 490-SJ1-42536-SMT-TR
J3,battery,Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical,1,JST,XH-B02B,-,-
J6,Speaker,Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical,1,JST,XH-B02B,-,-
J1,USB,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,-,1x04 pin header,-,-
J4,audio,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,-,1x04 pin header,-,-
J8,gpio_exp1,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,1,2x20 long pin header,-,-,-
J7,gpio_exp2,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,1,2x20 pin header,-,-,-
J2,USB_B_Micro,Connector_USB:USB_Micro-B_Molex-105017-0001,1,Molex,105017-0001,mouser,538-105017-0001
Y1,16mhz,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,1,-,SG5032CCN 16.000000M-HJGA3,mouser,581-KC7050A16.C3GE
D58,SS34,Diode_SMD:D_SMC,1,-,SS34,mouser,512-SS34
D9;D8;D12;D13;D16;D20;D24;D28;D31;D35;D37;D38;D40;D44;D48;D51;D19;D23;D27;D34;D36;D39;D43;D47;D4;D5;D3;D2;D6;D7;D11;D15;D18;D10;D14;D17;D50;D46;D42;D41;D45;D49;D32;D29;D25;D30;D26;D22;D21;D33;D52;D53;D54;D55,1N4148,Diode_SMD:D_SOD-123v,54,-,1N4148W-E3-18,mouser,78-1N4148W-E3-18
L1,22uH,Inductor_SMD:L_7.3x7.3_H4.5,1,Epcos,B82472G6223M000,mouser,871-B82472G6223M000
JP1,SolderJumper_2_Open,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,-,-,-,-
D1,LED,LED_SMD:LED_0805_2012Metric,1,-,HSMW-C170-U0000,-,-
D57,LEDG,LED_SMD:LED_0805_2012Metric,1,-,HSMQ-C170-T0000,-,-
D56,LEDR,LED_SMD:LED_0805_2012Metric,1,-,HSMC-C170-T0000,-,-
D59;D60;D61;D62;D63,LED_Small,LED_SMD:LED_0805_2012Metric,5,-,HSMW-C170-U0000,-,-
IC2,LM3914,Package_LCC:PLCC-20,1,-,LM3914VX/NOPB,mouser,926-LM3914VX/NOPB
U1,ATMEGA32U4-AU,Package_QFP:TQFP-44-1EP_10x10mm_P0.8mm_EP4.5x4.5mm,1,-,ATMEGA32U4-AU,-,556-ATMEGA32U4-AU
IC1,74HC125,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,1,-,SN74HC125DR,-,595-SN74HC125DR
U6,LM4860,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,1,-,LM4860MX/NOPB,-,-
U2,MCP602,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,-,MCP6022T-I/SN,-,-
U3,TP4056,Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,-,TP4056 SOP-8,-,-
U4,FS312F-G,Package_TO_SOT_SMD:SOT-23-6,1,-,FS312F-G SOT-23,-,-
U5,MT3608,Package_TO_SOT_SMD:SOT-23-6,1,-,MT3608 SOT-23,-,-
M1,FS8205,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,1,-,FS8205 SOT-23,-,-
RV1,10K,Potentiometer_SMD:Potentiometer_Vishay_TS53YJ_Vertical,1,-,TS53YJ103MR10,-,-
R15;R13,1.5K,Resistor_SMD:R_0805_2012Metric,2,-,-,-,-
R23,100K,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R31;R32,100K,Resistor_SMD:R_0805_2012Metric,2,-,-,-,-
R1;R8;R3;R12;R7;R9;R4;R10;R5;R11;R6;R33;R34,10K,Resistor_SMD:R_0805_2012Metric,13,-,-,-,-
R18,15K,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R17;R19;R21;R20;R26;R30;R29;R28,1K,Resistor_SMD:R_0805_2012Metric,8,-,-,-,-
R24,2.7k,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R22,2k,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R2,330K,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R27,4.7K,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R14,470K,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R25,7.5K,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
R16,820K,Resistor_SMD:R_0805_2012Metric,1,-,-,-,-
SW51;SW52;SW53;SW54,Rotary_Encoder_Switch,Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles,4,-,EC12D1564404,-,-
